,Name,Order,slug,Chapters,slug (from Chapters),Order (from Chapters),Modules (Names),Modules,Chapter Section Slug
,Finding a Realtor,2,s02-finding-a-realtor,Build Your Homebuying Team,c03-build-your-homebuying-team,3,"Your Guide to Home Search,How Realtors are Paid","m01-your-guide-to-home-search, m02-how-realtors-are-paid",c03-build-your-homebuying-team--s02-finding-a-realtor
,Choosing a Lender,3,s03-choosing-a-lender,Build Your Homebuying Team,c03-build-your-homebuying-team,3,To Get a Mortgage,m01-to-get-a-mortgage,c03-build-your-homebuying-team--s03-choosing-a-lender
,Finding Financial Help to Buy a Home,4,s04-finding-financial-help-to-buy-a-home,Build Your Homebuying Team,c03-build-your-homebuying-team,3,Explore Down Payment Assistance Programs,m01-explore-down-payment-assistance-programs,c03-build-your-homebuying-team--s04-finding-financial-help-to-buy-a-home
,Intro: Process to Get a Mortgage,0,s00-intro-process-to-get-a-mortgage,Get Pre-Approved for a Mortgage,c04-get-pre-approved-for-a-mortgage,4,,,c04-get-pre-approved-for-a-mortgage--s00-intro-process-to-get-a-mortgage
,Important Loan terms,1,s01-important-loan-terms,Get Pre-Approved for a Mortgage,c04-get-pre-approved-for-a-mortgage,4,Understanding Home Loans,m01-understanding-home-loans,c04-get-pre-approved-for-a-mortgage--s01-important-loan-terms
,Shopping for Loans and Finding a Lender,2,s02-shopping-for-loans-and-finding-a-lender,Get Pre-Approved for a Mortgage,c04-get-pre-approved-for-a-mortgage,4,"Ways to Find Lenders,Types of Lenders,Types of Loans and What to Compare,Program Compatibility,Checklist","m01-ways-to-find-lenders, m02-types-of-lenders, m03-types-of-loans-and-what-to-compare, m04-program-compatibility, m05-checklist-when-shopping-for-loans",c04-get-pre-approved-for-a-mortgage--s02-shopping-for-loans-and-finding-a-lender
,Getting Pre-Approved,3,s03-getting-pre-approved,Get Pre-Approved for a Mortgage,c04-get-pre-approved-for-a-mortgage,4,How to Get Pre-Approved,m01-how-to-get-pre-approved,c04-get-pre-approved-for-a-mortgage--s03-getting-pre-approved
,Learn More about Mortgage Options,4,s04-learn-more-about-mortgage-options,Get Pre-Approved for a Mortgage,c04-get-pre-approved-for-a-mortgage,4,FAQs About Mortgage Options,m01-faqs-about-mortgage-options,c04-get-pre-approved-for-a-mortgage--s04-learn-more-about-mortgage-options
,Intro: Time to Find Your Home!,0,s00-intro-time-to-find-your-home,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,,,c05-find-a-home-and-make-an-offer--s00-intro-time-to-find-your-home
,Decide What You Need and Want in a Home,1,s01-decide-what-you-need-and-want-in-a-home,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,Decide What You Need and Want in a Home,m01-decide-what-you-need-and-want-in-a-home,c05-find-a-home-and-make-an-offer--s01-decide-what-you-need-and-want-in-a-home
,What to Research About Any Home,2,s02-what-to-research-about-any-home,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,What to Research About Any Home,m01-what-to-research-about-any-home,c05-find-a-home-and-make-an-offer--s02-what-to-research-about-any-home
,Making an Offer,3,s03-making-an-offer,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,Making an Offer,m01-making-an-offer,c05-find-a-home-and-make-an-offer--s03-making-an-offer
,Option Fee and Earnest Money,4,s04-option-fee-and-earnest-money,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,Option Fee and Earnest Money,m01-option-fee-and-earnest-money,c05-find-a-home-and-make-an-offer--s04-option-fee-and-earnest-money
,Selecting an Inspector,5,s05-selecting-an-inspector,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,Selecting an Inspector,m01-selecting-an-inspector,c05-find-a-home-and-make-an-offer--s05-selecting-an-inspector
,Understanding the Appraisal,6,s06-understanding-the-appraisal,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,Understanding the Appraisal,m01-understanding-the-appraisal,c05-find-a-home-and-make-an-offer--s06-understanding-the-appraisal
,Credits and Negotiating with the Seller,7,s07-credits-and-negotiating-with-the-seller,Find a Home and Make an Offer,c05-find-a-home-and-make-an-offer,5,Credits and Negotiating with the Seller,m01-credits-and-negotiating-with-the-seller,c05-find-a-home-and-make-an-offer--s07-credits-and-negotiating-with-the-seller
,Intro: Finalizing Your Mortgage,0,s00-intro-finalizing-your-mortgage,Finalize Your Mortgage,c06-finalize-your-mortgage,6,,,c06-finalize-your-mortgage--s00-intro-finalizing-your-mortgage
,Understanding Sales Price versus Loan Amount,1,s01-understanding-sales-price-versus-loan-amount,Finalize Your Mortgage,c06-finalize-your-mortgage,6,Understanding Sales Price versus Loan Amount,m01-understanding-sales-price-versus-loan-amount,c06-finalize-your-mortgage--s01-understanding-sales-price-versus-loan-amount
,Navigate the Loan Approval Process,2,s02-navigate-the-loan-approval-process,Finalize Your Mortgage,c06-finalize-your-mortgage,6,Navigate the Loan Approval Process,m01-navigate-the-loan-approval-process,c06-finalize-your-mortgage--s02-navigate-the-loan-approval-process
,Know Your Rights as a Borrower,3,s03-know-your-rights-as-a-borrower,Finalize Your Mortgage,c06-finalize-your-mortgage,6,Know Your Rights as a Borrower,m01-know-your-rights-as-a-borrower,c06-finalize-your-mortgage--s03-know-your-rights-as-a-borrower
,Be Careful wtih Contract for Deed Deals,4,s04-be-careful-wtih-contract-for-deed-deals,Finalize Your Mortgage,c06-finalize-your-mortgage,6,Be Careful wtih Contract for Deed Deals,m01-be-careful-wtih-contract-for-deed-deals,c06-finalize-your-mortgage--s04-be-careful-wtih-contract-for-deed-deals
,"Intro: Closing 101, What to Expect",0,s00-intro-closing-101-what-to-expect,Close on Your Home,c07-close-on-your-home,7,,,c07-close-on-your-home--s00-intro-closing-101-what-to-expect
,Putting Money into Escrow,1,s01-putting-money-into-escrow,Close on Your Home,c07-close-on-your-home,7,Putting Your Money into Escrow,m01-putting-your-money-into-escrow,c07-close-on-your-home--s01-putting-money-into-escrow
,Homeowners Insurance & Other Coverage,2,s02-homeowners-insurance-other-coverage,Close on Your Home,c07-close-on-your-home,7,Homeowners Insurance & Other Coverage,m01-homeowners-insurance-other-coverage,c07-close-on-your-home--s02-homeowners-insurance-other-coverage
,Reviewing Your Closing Documents,3,s03-reviewing-your-closing-documents,Close on Your Home,c07-close-on-your-home,7,Reviewing Your Closing Documents,m01-reviewing-your-closing-documents,c07-close-on-your-home--s03-reviewing-your-closing-documents
,It's Closing Day! What to Expect,4,s04-it-s-closing-day-what-to-expect,Close on Your Home,c07-close-on-your-home,7,It's Closing Day! What to Expect,m01-it-s-closing-day-what-to-expect,c07-close-on-your-home--s04-it-s-closing-day-what-to-expect
,What to do After Closing,6,s06-what-to-do-after-closing,Close on Your Home,c07-close-on-your-home,7,What to do After Closing,m01-what-to-do-after-closing,c07-close-on-your-home--s06-what-to-do-after-closing
,Homeownership 101: What you can do to protect your home,0,s00-homeownership-101-what-you-can-do-to-protect-your-home,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,,,c08-you-re-a-homeowner-protect-your-home--s00-homeownership-101-what-you-can-do-to-protect-your-home
,Keep Up with Home Maintenance,1,s01-keep-up-with-home-maintenance,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,Keeping Up with Home Maintenance,m01-keeping-up-with-home-maintenance,c08-you-re-a-homeowner-protect-your-home--s01-keep-up-with-home-maintenance
,Maintaining and Shopping for Insurance,2,s02-maintaining-and-shopping-for-insurance,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,Maintaining and Shopping for Insurance,m01-maintaining-and-shopping-for-insurance,c08-you-re-a-homeowner-protect-your-home--s02-maintaining-and-shopping-for-insurance
,Being Prepared for Disaster,3,s03-being-prepared-for-disaster,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,Being Prepared for Disaster,m01-being-prepared-for-disaster,c08-you-re-a-homeowner-protect-your-home--s03-being-prepared-for-disaster
,Recovering from a Disaster,4,s04-recovering-from-a-disaster,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,Recovering from a Disaster,m01-recovering-from-a-disaster,c08-you-re-a-homeowner-protect-your-home--s04-recovering-from-a-disaster
,Property Taxes & Protesting Your Assessment,5,s05-property-taxes-protesting-your-assessment,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,Property Taxes & Protesting Your Assessment,m01-property-taxes-protesting-your-assessment,c08-you-re-a-homeowner-protect-your-home--s05-property-taxes-protesting-your-assessment
,Passing Your Home Down to the Next Generation,6,s06-passing-your-home-down-to-the-next-generation,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,Passing Your Home Down to the Next Generation,m01-passing-your-home-down-to-the-next-generation,c08-you-re-a-homeowner-protect-your-home--s06-passing-your-home-down-to-the-next-generation
,Help to Keep Your Home,7,s07-help-to-keep-your-home,You're a Homeowner - Protect Your Home,c08-you-re-a-homeowner-protect-your-home,8,Help to Keep Your Home,m01-help-to-keep-your-home,c08-you-re-a-homeowner-protect-your-home--s07-help-to-keep-your-home
